"Year","JAPAN_LL (mt)","OTHER_ATL_LL (mt)","GOM_US_MEX_LL (mt)","JPNLL_GOM (mt)","USA_CAN_PSFS (mt)","USA_CAN_PSFB (mt)","USA_TRAP (mt)","CAN_TRAP (mt)","USA_CAN_HARPOON (mt)","USA_HARPOON (mt)","USA_RRFS (mt)","USA_RRFB (mt)","CAN_combinedHL (mt)","CAN_SWNS_HLnoHP (mt)","CAN_SWNS_HLwithHP (mt)","CAN_GSL_HL (mt)","CAN_GSL_old (mt)","Total Catch (mt)"
2011,577.6,340.97,26.88,0,0,0,0,26.26,100.29,0,173.37,419.83,0,140.99,0,200.59,0,2006.78
2012,289.2,259.63,152.91,0,0,1.68,0,16.58,83.05,0,148.66,421.26,0,149.45,0,231.54,0,1753.96
2013,316.7,243.09,55.12,0,0,42.54,0,11.37,69.56,0,115.3,250.77,0,150.3,0,226.7,0,1481.45
2014,301.5,242.37,92.45,0,0,41.84,0,19.54,78.86,0,100.04,378.52,0,107.84,0,263.56,0,1626.52
2015,346.6,163.16,62.4,0,0,38.85,0,6.47,102.85,0,112.06,582.34,0,115.2,0,311.77,0,1841.7
2016,345.4,180.01,65.83,0,0,0,0,9.52,77.89,0,145.25,723.16,0,76.36,0,277.47,0,1900.89
2017,345.8,178.06,45.64,0,0,0,0,12.63,98.98,0,141.83,657.86,0,87.52,0,281.28,0,1849.6
2018,407,186.68,87.68,0,0,0,0,2.8,74.14,0,113.96,767.31,0,95.95,0,290.95,0,2026.47
2019,406.3,231.24,43.87,0,0,0,0,3.91,155.81,0,181.78,798.64,0,119.33,0,364.54,0,2305.42
2020,407.6,135.96,33.04,0,0,0,0.78,3.5,127.97,0,192.55,848.77,0,85.97,0,341.48,0,2177.62
