"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2011,341.228,252.517651319051,461.10260956326,0.436141,0.143843731129604,0.728438268870396
2012,253.17,168.153474292857,381.169935200813,0.0899049,-0.318655472469328,0.498465272469328
2013,111.061,61.8478070697524,199.433840994379,-0.804401,-1.38755496421216,-0.221247035787844
2014,241.114,152.165637758088,382.057091551933,-0.0909392,-0.547256054916631,0.365377654916631
2015,283.543,163.418659617005,491.967276181442,0.0270949,-0.52585013931844,0.58003993931844
2016,310.094,151.003302465697,636.79593271044,0.0684485,-0.662184914192857,0.799081914192857
2017,1073.58,613.027875024845,1880.13312829092,1.19415,0.639533111402747,1.74876688859725
2018,378.761,284.62756774764,504.026704989434,0,0,0
2019,378.761,284.62756774764,504.026704989434,0,0,0
2020,378.761,284.62756774764,504.026704989434,0,0,0
2021,378.761,284.62756774764,504.026704989434,0,0,0
