"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Biomass (mt)","0","0","0"
"Unfished Age 9+ Biomass (mt)","0","0","0"
"Unfished Recruitment (R0)","0","0","0"
"2021 Spawning Biomass (mt)","0","0","0"
"2021 Fraction Unfished","0","0","0"
"Reference Points Based SB-99900\%","","",""
"Proxy Spawning Biomass (mt) SB-99900\%",NA,NA,NA
"SPR Resulting in SB-99900\%",NA,NA,NA
"Exploitation Rate Resulting in SB-99900\%",NA,NA,NA
"Yield with SPR Based On SB-99900\% (mt)",NA,NA,NA
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Biomass (mt) (SPR40)","0","0","0"
"SPR40","0.4","",""
"Exploitation Rate Corresponding to SPR40","0","0","0"
"Yield with SPR40 at SB SPR (mt)","0","0","0"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Biomass (mt) at MSY (SB MSY)","0","0","0"
"SPR MSY","0","0","0"
"Exploitation Rate Corresponding to SPR MSY","0","0","0"
"MSY (mt)","0","0","0"
