"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2011,23025.5,18884.1352999466,27166.8647000534,0.285708,0.238515007198252,0.332900992801748
2012,24579,20190.4642418562,28967.5357581438,0.304984,0.25474992707984,0.35521807292016
2013,27096.6,22317.0710265803,31876.1289734197,0.336223,0.28119799111603,0.39124800888397
2014,29608.3,24437.9346084232,34778.6653915768,0.367388,0.307526975980576,0.427249024019424
2015,31644.7,26156.5068486902,37132.8931513098,0.392657,0.328764330064377,0.456549669935623
2016,33150.4,27387.0671045404,38913.7328954596,0.41134,0.343945854405996,0.478734145594004
2017,34391.1,28408.3099371915,40373.8900628085,0.426736,0.356399948465202,0.497072051534798
2018,36846.6,30500.9814043734,43192.2185956266,0.457204,0.381889835940869,0.532518164059131
2019,39025.5,32309.1346170578,45741.8653829422,0.48424,0.403863052972403,0.564616947027597
2020,39505.3,32601.2484658983,46409.3515341017,0.490194,0.407251656113039,0.573136343886961
2021,39727.1,32679.6183015096,46774.5816984904,0.492945,0.40788021111418,0.57800978888582
